cell_id,escenario,escala_planta,utilizacion,restriccion_ambiental,pendiente_pct,riesgo_pendiente,dist_gasoducto_km,sitio_viable,capex_base,capex_geoespacial,capex_ajustado,ingresos_totales,coste_feedstock,opex_variable,opex_fijo,opex_total,ebitda,margen_ebitda,cash_flow_anual,NPV,IRR,Payback,score_economico,clasificacion
13738,Optimista,Grande,1.0,Baja,5.672171933852135,Medio,0.4255738993076269,True,15000000,1049676.697726044,16049676.697726045,9900000.0,2234162.2789249998,3234162.2789249998,1025993.533954521,4260155.8128795205,5639844.1871204795,0.5696812310222706,4002377.751969127,18208590.371284347,0.23940536208080032,4.01003545700547,94.0,Muy Atractivo
13740,Pesimista,Grande,1.0,Baja,5.028560825694829,Medio,0.822257157405464,True,15000000,1151210.655357297,16151210.655357298,5775000.0,2506622.649975,4306622.649975,1268024.2131071459,5574646.863082146,200353.13691785373,0.03469318388187943,-88396.86308214627,-16907841.72098847,,,16.5,No Recomendable
13740,Base,Grande,1.0,Baja,5.028560825694829,Medio,0.822257157405464,True,15000000,1151210.655357297,16151210.655357298,7825000.0,2506622.649975,3806622.649975,1108024.2131071459,4914646.863082146,2910353.1369178537,0.37193011334413467,2060701.6969443453,1487321.6018115273,0.09479006690885083,7.837723761428777,48.1,Marginal
13740,Optimista,Grande,1.0,Baja,5.028560825694829,Medio,0.822257157405464,True,15000000,1151210.655357297,16151210.655357298,9900000.0,2506622.649975,3506622.649975,1028024.213107146,4534646.863082146,5365353.136917854,0.5419548623149347,3798201.696944345,16359415.822083592,0.22379569796619547,4.2523309566079535,93.6,Muy Atractivo
13849,Pesimista,Grande,1.0,Baja,4.639982780676455,Bajo,0.23681177810919568,True,15000000,709946.174689929,15709946.17468993,5775000.0,2141231.5761999995,3941231.5761999995,1259198.9234937986,5200430.499693798,574569.5003062021,0.09949255416557612,285819.5003062021,-13263480.25322523,-0.1308100520986567,54.964570849293565,19.3,No Recomendable
13849,Base,Grande,1.0,Baja,4.639982780676455,Bajo,0.23681177810919568,True,15000000,709946.174689929,15709946.17468993,7825000.0,2141231.5761999995,3441231.5761999995,1099198.9234937986,4540430.499693798,3284569.500306202,0.41975329077395557,2334009.561474484,4267958.924167287,0.12222044643219054,6.730883383684748,58.7,Marginal
13849,Optimista,Grande,1.0,Baja,4.639982780676455,Bajo,0.23681177810919568,True,15000000,709946.174689929,15709946.17468993,9900000.0,2141231.5761999995,3141231.5761999995,1019198.9234937986,4160430.499693798,5739569.500306202,0.5797544949804244,4071509.5614744835,19140053.144439347,0.25005499838700285,3.8585065164382484,94.2,Muy Atractivo
13179,Pesimista,Grande,1.0,Baja,4.236464140182026,Bajo,1.0575533131542338,True,15000000,902642.06091997,15902642.06091997,5775000.0,1869186.8160499996,3669186.8160499996,1263052.8412183993,4932239.657268399,842760.3427316006,0.14593252687993086,554010.3427316006,-11160602.339418052,-0.07196455553621084,28.70459418232245,21.3,No Recomendable
13179,Base,Grande,1.0,Baja,4.236464140182026,Bajo,1.0575533131542338,True,15000000,902642.06091997,15902642.06091997,7825000.0,1869186.8160499996,3169186.8160499996,1103052.8412183993,4272239.657268399,3552760.3427316006,0.45402688086026843,2538364.2913973667,5824432.993489108,0.1360672236907552,6.264917181042436,64.3,Atractivo
13179,Optimista,Grande,1.0,Baja,4.236464140182026,Bajo,1.0575533131542338,True,15000000,902642.06091997,15902642.06091997,9900000.0,1869186.8160499996,2869186.8160499996,1023052.8412183993,3892239.657268399,6007760.342731601,0.606844479063798,4275864.291397367,20696527.213761173,0.2605365059798195,3.7191643553595886,94.4,Muy Atractivo
