cell_id,score,biomasa_10km,dist_gasoducto,dist_carretera,pendiente_media,pts_carretera,pts_suelo,dist_nucleos,red_natura,cluster,purin_bruto_t_anio,purin_mov_t_anio,biometano_Nm3h,biometano_año_m3,capex_total_€,capex_total_M€,opex_fijo_€,coste_feedstock_€,opex_variable_€,amortizacion_anual_€,costes_totales_€,ingreso_pesimista_€,margen_pesimista_€,margen_pesimista_M€,ingreso_base_€,margen_base_€,margen_base_M€,ingreso_optimista_€,margen_optimista_€,margen_optimista_M€,proporcion_biomasa,stock_proyectado_15a,viable,viable_pred,margen_pred_€,margen_pred_M€
1884,62.51,266782.0,9289.456236938828,8338.951619133835,7.33111572265625,2,3.0,7899.488832018678,0,1.0,352438.0,254637.0,581.4,5092731.0,5693647.0,5.69,898873.0,865766.0,611128.0,379576.0,2755343.0,3250175.0,494832.0,0.49,4014085.0,1258742.0,1.26,4777994.0,2022651.0,2.02,0.05146917959190367,436835.0,0,0,1363183.3907451306,1.36
1885,63.9,253902.0,9542.369267844655,8716.195606529162,7.653609619140625,3,3.0,7938.586556794585,0,1.0,343788.0,248387.0,567.1,4967732.0,5698174.0,5.7,898963.0,844516.0,596128.0,379878.0,2719485.0,3175801.0,456316.0,0.46,3920960.0,1201475.0,1.2,4666120.0,1946635.0,1.95,0.04898429293109552,415745.0,0,0,1308631.3383079355,1.31
1888,64.14,267187.0,9971.281177884935,8253.963822093818,9.13091552734375,3,3.0,7440.15406823809,0,1.0,358951.0,259342.0,592.1,5186837.0,5951908.0,5.95,904038.0,881763.0,622420.0,396794.0,2805015.0,3306168.0,501153.0,0.5,4084194.0,1279179.0,1.28,4862219.0,2057204.0,2.06,0.05154731461501138,437498.0,0,0,1352933.29628613,1.35
1891,60.81,222615.0,8201.198432933004,5395.504294296163,12.4567041015625,2,3.0,6086.440380395512,0,1.0,267807.0,193490.0,441.8,3869810.0,4669155.0,4.67,878383.0,657866.0,464377.0,311277.0,2311903.0,2522537.0,210634.0,0.21,3103008.0,791105.0,0.79,3683480.0,1371577.0,1.37,0.042948217701537714,364515.0,0,0,890103.3227651557,0.89
2302,73.17,204071.0,966.0015727405882,1904.0921893260395,10.247081298828125,4,3.0,3275.2764291387516,0,0.0,310861.0,224597.0,512.8,4491942.0,2853694.0,2.85,842074.0,763630.0,539033.0,190246.0,2334983.0,2892705.0,557722.0,0.56,3566497.0,1231514.0,1.23,4240288.0,1905305.0,1.91,0.03937059827311953,334150.0,0,0,1284527.3073371307,1.28
2313,74.13,204830.0,1564.5578065784841,2576.720173584947,5.834292602539063,4,3.0,3160.4455370800924,0,0.0,335508.0,242404.0,553.4,4848088.0,3236541.0,3.24,849731.0,824174.0,581771.0,215769.0,2471445.0,3104612.0,633167.0,0.63,3831826.0,1360381.0,1.36,4559039.0,2087594.0,2.09,0.03951702909420286,335393.0,0,0,1323284.3283303718,1.32
2314,74.47,203067.0,1052.9217840440285,2954.615434873004,5.053135681152344,4,3.0,3836.820906946167,0,0.0,320925.0,231868.0,529.4,4637366.0,2962775.0,2.96,844256.0,788351.0,556484.0,197518.0,2386609.0,2979233.0,592624.0,0.59,3674838.0,1288229.0,1.29,4370443.0,1983834.0,1.98,0.0391769005862056,332506.0,0,0,1292341.8202262707,1.29
2315,72.79,203067.0,1547.0199081182918,3055.979179406457,8.10021240234375,4,3.0,3581.065660075528,0,0.0,320925.0,231868.0,529.4,4637366.0,3111004.0,3.11,847220.0,788351.0,556484.0,207400.0,2399455.0,2979233.0,579778.0,0.58,3674838.0,1275383.0,1.28,4370443.0,1970988.0,1.97,0.0391769005862056,332506.0,0,0,1305323.1831694911,1.31
2318,74.16,200455.0,1088.9135867152722,3448.202191417796,4.457125244140625,4,3.0,4270.81593887676,0,0.0,320779.0,231763.0,529.1,4635256.0,2972368.0,2.97,844447.0,787994.0,556231.0,198158.0,2386830.0,2977977.0,591147.0,0.59,3673266.0,1286436.0,1.29,4368554.0,1981724.0,1.98,0.03867297791865662,328229.0,0,0,1303352.9388086703,1.3
2321,72.88,205731.0,2552.8599169804465,2483.272931602578,7.03699951171875,4,3.0,2688.6101932475995,0,0.0,336988.0,243474.0,555.9,4869472.0,3545237.0,3.55,855905.0,827812.0,584337.0,236349.0,2504403.0,3117336.0,612933.0,0.61,3847757.0,1343354.0,1.34,4578177.0,2073774.0,2.07,0.03969085540486964,336868.0,0,0,1323394.753959591,1.32
